Sample,SMILES,Protein adsorption / ng cm-2,Protein MW / kDa,Protein Charge (pI),Thickness (nm),Type,Predicted Zeta (mV),Predicted CA (deg),Ref
PMTAC,C=C(C)C(=O)OCC[N+](C)(C)C.[Cl-],72.87424309369291,14.0,11.0,7.3,Lys,29.687649,20.68649027,https://pubs.acs.org/doi/full/10.1021/acs.langmuir.3c02472
PMTAC,C=C(C)C(=O)OCC[N+](C)(C)C.[Cl-],49.026840700142714,14.0,11.0,11.8,Lys,43.05105,20.76245473,https://pubs.acs.org/doi/full/10.1021/acs.langmuir.3c02472
PMTAC,C=C(C)C(=O)OCC[N+](C)(C)C.[Cl-],215.27969490995014,14.0,11.0,6.2,Lys,39.607033,20.67168302,https://pubs.acs.org/doi/full/10.1021/acs.langmuir.3c02472
PMTAC,C=C(C)C(=O)OCC[N+](C)(C)C.[Cl-],29.57808583580508,14.0,11.0,17.6,Lys,44.641705,20.89647337,https://pubs.acs.org/doi/full/10.1021/acs.langmuir.3c02472
PHEMA,C=C(C)C(=O)OCCO,138.91602642288882,14.0,11.0,22.4,Lys,-15.430634,48.25423063,https://pubs.acs.org/doi/full/10.1021/acs.analchem.7b00198
PHEMA,C=C(C)C(=O)OCCO,53.379211761022425,14.0,11.0,40.1,Lys,-9.8282795,50.50632499,https://pubs.acs.org/doi/full/10.1021/acs.analchem.7b00198
PHEMA,C=C(C)C(=O)OCCO,62.93404621691556,14.0,11.0,90.7,Lys,-9.9939165,56.79425601,https://pubs.acs.org/doi/full/10.1021/acs.analchem.7b00198
PAEMA ,C=C(C)C(=O)OCC[NH3+].[Cl-],56.344085020614976,14.0,11.0,5.3,Lys,24.585434,44.09321156,https://www.tandfonline.com/doi/full/10.1080/09205063.2019.1710900
PMPS,C=C(C)C(=O)OCCCS(=O)(=O)[O-].[K+],272.44414107199464,14.0,11.0,1.54,Lys,-45.23415,13.519557,10.1016/j.cjche.2021.04.016
PMPS,C=C(C)C(=O)OCCCS(=O)(=O)[O-].[K+],309.30193051129686,14.0,11.0,3.21,Lys,-45.23415,13.54182636,10.1016/j.cjche.2021.04.016
PMPS,C=C(C)C(=O)OCCCS(=O)(=O)[O-].[K+],287.35648371708754,14.0,11.0,3.86,Lys,-45.23415,13.55169251,10.1016/j.cjche.2021.04.016
PMPC,C=C(C)C(=O)OCCOP(=O)([O-])OCC[N+](C)(C)C,0.0,14.0,11.0,23.5,Lys,-4.5875216,13.15318186,https://pubs.acs.org/doi/full/10.1021/la404981k
PMTAC,C=C(C)C(=O)OCC[N+](C)(C)C.[Cl-],37.7400186137466,14.0,11.0,12.7,Lys,47.89375,20.78059906,https://pubs.acs.org/doi/full/10.1021/la404981k
PMPS,C=C(C)C(=O)OCCCS(=O)(=O)[O-].[K+],622.6964710127519,14.0,11.0,23.3,Lys,-57.269745,14.15228477,https://pubs.acs.org/doi/full/10.1021/la404981k
PHEMA,C=C(C)C(=O)OCCO,0.0,14.0,11.0,13.4,Lys,-9.486631,47.14341843,https://pubs.acs.org/doi/full/10.1021/la404981k
PBMA,C=C(C)C(=O)OCCCC,180.97274412797816,14.0,11.0,21.4,Lys,-22.589005,83.25756005,https://pubs.acs.org/doi/full/10.1021/la404981k
PMPC,C=C(C)C(=O)OCCOP(=O)([O-])OCC[N+](C)(C)C,10.069239512349203,14.0,11.0,0.83,Lys,-3.0784194,11.64094088,https://pubs.acs.org/doi/10.1021/acsami.4c01401
PMPC,C=C(C)C(=O)OCCOP(=O)([O-])OCC[N+](C)(C)C,6.862279599830443,14.0,11.0,1.7,Lys,-3.0784194,11.68388291,https://pubs.acs.org/doi/10.1021/acsami.4c01401
PMPC,C=C(C)C(=O)OCCOP(=O)([O-])OCC[N+](C)(C)C,2.59273289746693,14.0,11.0,5.9,Lys,-2.4862142,11.9086381,https://pubs.acs.org/doi/10.1021/acsami.4c01401
PMPC,C=C(C)C(=O)OCCOP(=O)([O-])OCC[N+](C)(C)C,3.0020366559625646,14.0,11.0,11.8,Lys,-1.3832238,12.27237313,https://pubs.acs.org/doi/10.1021/acsami.4c01401
PMPC,C=C(C)C(=O)OCCOP(=O)([O-])OCC[N+](C)(C)C,2.564313724831514,14.0,11.0,23.1,Lys,-5.6737423,13.11968992,https://pubs.acs.org/doi/10.1021/acsami.4c01401
PSBMA,C=C(C)C(=O)OCC[N+](C)(C)CCCS(=O)(=O)[O-],48.91322770822794,14.0,11.0,4.0,Lys,-17.130354,24.67626457,https://pubs.acs.org/doi/10.1021/acsami.4c01401
PSBMA,C=C(C)C(=O)OCCOC,54.45601978630019,14.0,11.0,3.8,Lys,-9.830339,59.26997867,https://pubs.acs.org/doi/10.1021/acsami.4c01401
PmOEGMA,C=C(C)C(=O)OCCOCCOCCOCCOC,1.5316342347494167,14.0,11.0,20.0,Lys,-8.934604,51.83500685,https://pubs.acs.org/doi/10.1021/la302738s
